id,name,lastname,price,flycode,typePassenger,statusFlight
1,Yancy,Lumby,20443,L1H2I15,1,Aterrizado
2,Federico,Huertas,15166,T2G6S95,1,Aterrizado
3,Cherie,Sline,27833,B4N7F69,1,Aterrizado
4,Rayner,Olcot,47344,Z6Z1G17,1,Demorado
5,Mareah,Sorley,33867,R4E5X39,1,Demorado
6,Truman,Wiggans,51965,W6Q7Y44,1,Demorado
7,Fiona,Heifer,49949,I7T0K98,1,Demorado
8,Bertha,Castlake,55489,O7E6E20,1,Demorado
9,Maisie,Rhule,26742,D6X0L40,1,Demorado
10,Gussie,McCulley,25562,N9J5M31,1,Demorado
11,Timmie,Brunicke,18372,F1V4Z90,1,Aterrizado
12,Faunie,Papaminas,27357,R4D5U29,1,En vuelo
13,Ruttger,Parr,24147,W6Q9F84,1,Demorado
14,Salvador,Woollends,39099,Q6T6V84,1,En vuelo
15,Kathie,Kenshole,19313,C6Z7T34,1,Aterrizado
16,Ole,Sighart,39651,L9G2K70,1,Demorado
17,Jodie,Hanhart,31275,O5E8O11,1,Aterrizado
18,Zaneta,Wisby,38269,G3I0H64,1,Demorado
19,Ulrica,Wolfenden,49095,N5M8W71,1,Demorado
20,Virgil,Styche,57376,P4S0H71,1,Aterrizado
21,Israel,Lovekin,19868,H1X9C35,1,Demorado
22,Rudd,Wippermann,47480,G6Z1I66,1,Aterrizado
23,Carmelita,Cloutt,39375,O8L2Q04,1,Aterrizado
24,Sax,Aylwin,11001,F9C0P56,1,En vuelo
25,Ginni,Perago,10769,N0U2L92,1,Aterrizado
26,Sigrid,Macrae,31568,I9I2I89,1,Aterrizado
27,Hendrick,MacPhaden,15181,X2M7J84,1,Demorado
28,Anatole,Shimon,40530,S0W0N26,1,Demorado
29,Fifi,Phipson,27703,M9L2T27,1,Aterrizado
30,Leonore,Selwyn,32690,C8T6U48,1,Aterrizado
31,Sascha,Fahey,50078,N0S1Z57,1,En vuelo
32,Freddi,Faveryear,44127,D3L4T22,1,Demorado
33,Worden,Whitta,31576,W4H9H27,1,En vuelo
34,Marguerite,Wibrow,21096,R3V9A23,1,Aterrizado
35,Marten,Hazlehurst,15995,F6Z1C87,1,Demorado
36,Koo,Climer,23640,T3T8G56,1,Demorado
37,Noll,Brewood,24482,G2M6G93,1,En vuelo
38,Patrizio,Spary,16791,R5H5D87,1,En vuelo
39,Mignon,Shales,31331,W7O5B75,1,Aterrizado
40,Lindsy,Krystof,25678,G5G1E42,1,Aterrizado
41,Ania,Margeram,38841,A0X3Y44,1,Aterrizado
42,Jonathon,Swadlen,47432,N2D3I19,1,Aterrizado
43,Rowena,Guillou,58162,Y0I4R05,1,Demorado
44,Jervis,Hinckley,17869,Z8G6N66,1,Demorado
45,Waldemar,Lowry,10080,J0X8H32,1,En vuelo
46,Manya,Hegdonne,59628,Q6J9V92,1,En vuelo
47,Janette,Izatson,59835,L7J7A62,1,Aterrizado
48,Nan,Wingham,37159,B4J7X35,1,Aterrizado
49,Dorita,Fawthorpe,17097,A2M2A52,1,En vuelo
50,Oliver,Fattorini,26085,O3S6O39,1,Aterrizado
51,Jamey,Thomann,27781,T2J6R24,1,En vuelo
52,Vonni,Overthrow,24983,T0R5Z47,1,En vuelo
53,Angeli,Maleham,39621,F7L7D26,1,Aterrizado
54,Ellie,Bythell,16828,C2L3V85,1,Demorado
